Timestamp,Flow (SLPM),Total (NCM),Temperature (°C),Battery
2025-11-28 10:53:20,0.00,0.000,25.0,N/A
2025-11-28 10:53:21,0.00,0.000,25.0,N/A
2025-11-28 10:53:22,0.00,0.000,25.0,N/A
2025-11-28 10:53:23,0.00,0.000,25.0,N/A
2025-11-28 10:53:24,0.00,0.000,25.0,N/A
2025-11-28 10:53:26,0.00,0.000,25.0,N/A
2025-11-28 10:53:27,0.00,0.000,25.0,N/A
2025-11-28 10:53:28,0.00,0.000,25.0,N/A
2025-11-28 10:53:29,0.00,0.000,25.0,N/A
2025-11-28 10:53:30,0.00,0.000,25.0,N/A
2025-11-28 10:53:31,0.00,0.000,25.0,N/A
2025-11-28 10:53:32,0.00,0.000,25.0,N/A
2025-11-28 10:53:33,0.00,0.000,25.0,N/A
2025-11-28 10:53:34,0.00,0.000,25.0,N/A
2025-11-28 10:53:35,0.00,0.000,25.0,N/A
2025-11-28 10:53:36,0.00,0.000,25.0,N/A
2025-11-28 10:53:38,0.00,0.000,25.0,N/A
2025-11-28 10:53:40,0.00,0.000,25.0,N/A
2025-11-28 10:53:42,0.00,0.000,25.0,N/A
2025-11-28 10:53:44,0.00,0.000,25.0,N/A
2025-11-28 10:53:46,0.00,0.000,25.0,N/A
2025-11-28 10:53:48,0.00,0.000,25.0,N/A
2025-11-28 10:53:49,0.00,0.000,25.0,N/A
2025-11-28 10:53:50,0.00,0.000,25.0,N/A
2025-11-28 10:53:51,0.00,0.000,25.0,N/A
2025-11-28 10:53:53,0.00,0.000,25.0,N/A
2025-11-28 10:53:55,0.00,0.000,25.0,N/A
2025-11-28 10:53:56,0.00,0.000,25.0,N/A
2025-11-28 10:53:57,0.00,0.000,25.0,N/A
2025-11-28 10:53:58,0.00,0.000,25.0,N/A
2025-11-28 10:53:59,0.00,0.000,25.0,N/A
2025-11-28 10:54:00,0.00,0.000,25.0,N/A
2025-11-28 10:54:02,0.00,0.000,25.0,N/A
2025-11-28 10:54:03,0.00,0.000,25.0,N/A
2025-11-28 10:54:05,0.00,0.000,25.0,N/A
2025-11-28 10:54:06,0.00,0.000,25.0,N/A
2025-11-28 10:54:08,0.00,0.000,25.0,N/A
2025-11-28 10:54:09,0.00,0.000,25.0,N/A
2025-11-28 10:54:11,0.00,0.000,25.0,N/A
2025-11-28 10:54:12,0.00,0.000,25.0,N/A
2025-11-28 10:54:14,0.00,0.000,25.0,N/A
2025-11-28 10:54:15,0.00,0.000,25.0,N/A
2025-11-28 10:54:17,0.00,0.000,25.0,N/A
2025-11-28 10:54:18,0.00,0.000,25.0,N/A
2025-11-28 10:54:20,0.00,0.000,25.0,N/A
2025-11-28 10:54:21,0.00,0.000,25.0,N/A
2025-11-28 10:54:23,0.00,0.000,25.0,N/A
2025-11-28 10:54:24,0.00,0.000,25.0,N/A
2025-11-28 10:54:25,0.00,0.000,25.0,N/A
2025-11-28 10:54:26,0.00,0.000,25.0,N/A
2025-11-28 10:54:26,0.00,0.000,25.0,N/A
2025-11-28 10:54:27,0.00,0.000,25.0,N/A
2025-11-28 10:54:27,0.00,0.000,25.0,N/A
2025-11-28 10:54:28,0.00,0.000,25.0,N/A
2025-11-28 10:54:28,0.00,0.000,25.0,N/A
2025-11-28 10:54:29,0.00,0.000,25.0,N/A
2025-11-28 10:54:29,0.00,0.000,25.0,N/A
2025-11-28 10:54:30,0.00,0.000,25.0,N/A
2025-11-28 10:54:30,0.00,0.000,25.0,N/A
2025-11-28 10:54:31,0.00,0.000,25.0,N/A
2025-11-28 10:54:31,0.00,0.000,25.0,N/A
2025-11-28 10:54:32,0.00,0.000,25.0,N/A
2025-11-28 10:54:32,0.00,0.000,25.0,N/A
2025-11-28 10:54:33,0.00,0.000,25.0,N/A
2025-11-28 10:54:33,0.00,0.000,25.0,N/A
2025-11-28 10:54:34,0.00,0.000,25.0,N/A
2025-11-28 10:54:34,0.00,0.000,25.0,N/A
2025-11-28 10:54:35,0.00,0.000,25.0,N/A
2025-11-28 10:54:36,0.00,0.000,25.0,N/A
2025-11-28 10:54:36,0.00,0.000,25.0,N/A
2025-11-28 10:54:37,0.00,0.000,25.0,N/A
2025-11-28 10:54:37,0.00,0.000,25.0,N/A
2025-11-28 10:54:38,0.00,0.000,25.0,N/A
2025-11-28 10:54:38,0.00,0.000,25.0,N/A
2025-11-28 10:54:39,0.00,0.000,25.0,N/A
2025-11-28 10:54:39,0.00,0.000,25.0,N/A
2025-11-28 10:54:40,0.00,0.000,25.0,N/A
2025-11-28 10:54:40,0.00,0.000,25.0,N/A
2025-11-28 10:54:41,0.00,0.000,25.0,N/A
2025-11-28 10:54:41,0.00,0.000,25.0,N/A
2025-11-28 10:54:42,0.00,0.000,25.0,N/A
2025-11-28 10:54:42,0.00,0.000,25.0,N/A
2025-11-28 10:54:43,0.00,0.000,25.0,N/A
2025-11-28 10:54:43,0.00,0.000,25.0,N/A
2025-11-28 10:54:44,0.00,0.000,25.0,N/A
2025-11-28 10:54:44,0.00,0.000,25.0,N/A
2025-11-28 10:54:45,0.00,0.000,25.0,N/A
2025-11-28 10:54:45,0.00,0.000,25.0,N/A
2025-11-28 10:54:46,0.00,0.000,25.0,N/A
2025-11-28 10:54:46,0.00,0.000,25.0,N/A
2025-11-28 10:54:47,0.00,0.000,25.0,N/A
2025-11-28 10:54:48,0.00,0.000,25.0,N/A
2025-11-28 10:54:48,0.00,0.000,25.0,N/A
2025-11-28 10:54:49,0.00,0.000,25.0,N/A
2025-11-28 10:54:49,0.00,0.000,25.0,N/A
2025-11-28 10:54:50,0.00,0.000,25.0,N/A
2025-11-28 10:54:50,0.00,0.000,25.0,N/A
2025-11-28 10:54:51,0.00,0.000,25.0,N/A
2025-11-28 10:54:51,0.00,0.000,25.0,N/A
2025-11-28 10:54:52,0.00,0.000,25.0,N/A
2025-11-28 10:54:52,0.00,0.000,25.0,N/A
2025-11-28 10:54:53,0.00,0.000,25.0,N/A
2025-11-28 10:54:53,0.00,0.000,25.0,N/A
2025-11-28 10:54:54,0.00,0.000,25.0,N/A
2025-11-28 10:54:54,0.00,0.000,25.0,N/A
2025-11-28 10:54:55,0.00,0.000,25.0,N/A
2025-11-28 10:54:55,0.00,0.000,25.0,N/A
2025-11-28 10:54:56,0.00,0.000,25.0,N/A
2025-11-28 10:54:56,0.00,0.000,25.0,N/A
2025-11-28 10:54:57,0.00,0.000,25.0,N/A
2025-11-28 10:54:57,0.00,0.000,25.0,N/A
2025-11-28 10:54:58,0.00,0.000,25.0,N/A
2025-11-28 10:54:58,0.00,0.000,25.0,N/A
2025-11-28 10:54:59,0.00,0.000,25.0,N/A
2025-11-28 10:55:00,0.00,0.000,25.0,N/A
2025-11-28 10:55:00,0.00,0.000,25.0,N/A
2025-11-28 10:55:01,0.00,0.000,25.0,N/A
2025-11-28 10:55:01,0.00,0.000,25.0,N/A
2025-11-28 10:55:02,0.00,0.000,25.0,N/A
2025-11-28 10:55:02,0.00,0.000,25.0,N/A
2025-11-28 10:55:03,0.00,0.000,25.0,N/A
2025-11-28 10:55:03,0.00,0.000,25.0,N/A
2025-11-28 10:55:04,0.00,0.000,25.0,N/A
2025-11-28 10:55:04,0.00,0.000,25.0,N/A
2025-11-28 10:55:05,0.00,0.000,25.0,N/A
2025-11-28 10:55:05,0.00,0.000,25.0,N/A
2025-11-28 10:55:06,0.00,0.000,25.0,N/A
2025-11-28 10:55:06,0.00,0.000,25.0,N/A
2025-11-28 10:55:07,0.00,0.000,25.0,N/A
2025-11-28 10:55:07,0.00,0.000,25.0,N/A
2025-11-28 10:55:08,0.00,0.000,25.0,N/A
2025-11-28 10:55:08,0.00,0.000,25.0,N/A
2025-11-28 10:55:09,0.00,0.000,25.0,N/A
2025-11-28 10:55:10,0.00,0.000,25.0,N/A
2025-11-28 10:55:10,0.00,0.000,25.0,N/A
2025-11-28 10:55:11,0.00,0.000,25.0,N/A
2025-11-28 10:55:11,0.00,0.000,25.0,N/A
2025-11-28 10:55:12,0.00,0.000,25.0,N/A
2025-11-28 10:55:12,0.00,0.000,25.0,N/A
2025-11-28 10:55:13,0.00,0.000,25.0,N/A
2025-11-28 10:55:13,0.00,0.000,25.0,N/A
2025-11-28 10:55:14,0.00,0.000,25.0,N/A
2025-11-28 10:55:14,0.00,0.000,25.0,N/A
2025-11-28 10:55:15,0.00,0.000,25.0,N/A
2025-11-28 10:55:15,0.00,0.000,25.0,N/A
2025-11-28 10:55:16,0.00,0.000,25.0,N/A
2025-11-28 10:55:16,0.00,0.000,25.0,N/A
2025-11-28 10:55:17,0.00,0.000,25.0,N/A
2025-11-28 10:55:17,0.00,0.000,25.0,N/A
2025-11-28 10:55:18,0.00,0.000,25.0,N/A
2025-11-28 10:55:18,0.00,0.000,25.0,N/A
2025-11-28 10:55:19,0.00,0.000,25.0,N/A
2025-11-28 10:55:19,0.00,0.000,25.0,N/A
2025-11-28 10:55:20,0.00,0.000,25.0,N/A
2025-11-28 10:55:20,0.00,0.000,25.0,N/A
2025-11-28 10:55:21,0.00,0.000,25.0,N/A
2025-11-28 10:55:22,0.00,0.000,25.0,N/A
2025-11-28 10:55:22,0.00,0.000,25.0,N/A
2025-11-28 10:55:23,0.00,0.000,25.0,N/A
2025-11-28 10:55:23,0.00,0.000,25.0,N/A
2025-11-28 10:55:24,0.00,0.000,25.0,N/A
2025-11-28 10:55:24,0.00,0.000,25.0,N/A
2025-11-28 10:55:25,0.00,0.000,25.0,N/A
2025-11-28 10:55:25,0.00,0.000,25.0,N/A
2025-11-28 10:55:26,0.00,0.000,25.0,N/A
2025-11-28 10:55:26,0.00,0.000,25.0,N/A
2025-11-28 10:55:27,0.00,0.000,25.0,N/A
2025-11-28 10:55:27,0.00,0.000,25.0,N/A
2025-11-28 10:55:28,0.00,0.000,25.0,N/A
2025-11-28 10:55:28,0.00,0.000,25.0,N/A
2025-11-28 10:55:29,0.00,0.000,25.0,N/A
2025-11-28 10:55:29,0.00,0.000,25.0,N/A
2025-11-28 10:55:30,0.00,0.000,25.0,N/A
2025-11-28 10:55:30,0.00,0.000,25.0,N/A
2025-11-28 10:55:31,0.00,0.000,25.0,N/A
2025-11-28 10:55:31,0.00,0.000,25.0,N/A
2025-11-28 10:55:32,0.00,0.000,25.0,N/A
2025-11-28 10:55:33,0.00,0.000,25.0,N/A
2025-11-28 10:55:33,0.00,0.000,25.0,N/A
2025-11-28 10:55:34,0.00,0.000,25.0,N/A
2025-11-28 10:55:34,0.00,0.000,25.0,N/A
2025-11-28 10:55:35,0.00,0.000,25.0,N/A
2025-11-28 10:55:35,0.00,0.000,25.0,N/A
2025-11-28 10:55:36,0.00,0.000,25.0,N/A
2025-11-28 10:55:36,0.00,0.000,25.0,N/A
2025-11-28 10:55:37,0.00,0.000,25.0,N/A
2025-11-28 10:55:37,0.00,0.000,25.0,N/A
2025-11-28 10:55:38,0.00,0.000,25.0,N/A
2025-11-28 10:55:38,0.00,0.000,25.0,N/A
2025-11-28 10:55:39,0.00,0.000,25.0,N/A
2025-11-28 10:55:39,0.00,0.000,25.0,N/A
2025-11-28 10:55:40,0.00,0.000,25.0,N/A
2025-11-28 10:55:40,0.00,0.000,25.0,N/A
2025-11-28 10:55:41,0.00,0.000,25.0,N/A
2025-11-28 10:55:41,0.00,0.000,25.0,N/A
2025-11-28 10:55:42,0.00,0.000,25.0,N/A
2025-11-28 10:55:42,0.00,0.000,25.0,N/A
2025-11-28 10:55:43,0.00,0.000,25.0,N/A
2025-11-28 10:55:44,0.00,0.000,25.0,N/A
2025-11-28 10:55:44,0.00,0.000,25.0,N/A
2025-11-28 10:55:45,0.00,0.000,25.0,N/A
2025-11-28 10:55:45,0.00,0.000,25.0,N/A
2025-11-28 10:55:46,0.00,0.000,25.0,N/A
2025-11-28 10:55:46,0.00,0.000,25.0,N/A
2025-11-28 10:55:47,0.00,0.000,25.0,N/A
2025-11-28 10:55:47,0.00,0.000,25.0,N/A
2025-11-28 10:55:48,0.00,0.000,25.0,N/A
2025-11-28 10:55:48,0.00,0.000,25.0,N/A
2025-11-28 10:55:49,0.00,0.000,25.0,N/A
2025-11-28 10:55:49,0.00,0.000,25.0,N/A
2025-11-28 10:55:50,0.00,0.000,25.0,N/A
2025-11-28 10:55:50,0.00,0.000,25.0,N/A
2025-11-28 10:55:51,0.00,0.000,25.0,N/A
2025-11-28 10:55:51,0.00,0.000,25.0,N/A
2025-11-28 10:55:52,0.00,0.000,25.0,N/A
2025-11-28 10:55:52,0.00,0.000,25.0,N/A
2025-11-28 10:55:53,0.00,0.000,25.0,N/A
2025-11-28 10:55:53,0.00,0.000,25.0,N/A
2025-11-28 10:55:54,0.00,0.000,25.0,N/A
2025-11-28 10:55:54,0.00,0.000,25.0,N/A
2025-11-28 10:55:55,0.00,0.000,25.0,N/A
2025-11-28 10:55:55,0.00,0.000,25.0,N/A
2025-11-28 10:55:56,0.00,0.000,25.0,N/A
2025-11-28 10:55:56,0.00,0.000,25.0,N/A
2025-11-28 10:55:57,0.00,0.000,25.0,N/A
2025-11-28 10:55:58,0.00,0.000,25.0,N/A
2025-11-28 10:55:58,0.00,0.000,25.0,N/A
2025-11-28 10:55:59,0.00,0.000,25.0,N/A
2025-11-28 10:55:59,0.00,0.000,25.0,N/A
2025-11-28 10:56:00,0.00,0.000,25.0,N/A
2025-11-28 10:56:00,0.00,0.000,25.0,N/A
2025-11-28 10:56:01,0.00,0.000,25.0,N/A
2025-11-28 10:56:01,0.00,0.000,25.0,N/A
2025-11-28 10:56:02,0.00,0.000,25.0,N/A
2025-11-28 10:56:02,0.00,0.000,25.0,N/A
2025-11-28 10:56:03,0.00,0.000,25.0,N/A
2025-11-28 10:56:03,0.00,0.000,25.0,N/A
2025-11-28 10:56:04,0.00,0.000,25.0,N/A
2025-11-28 10:56:04,0.00,0.000,25.0,N/A
2025-11-28 10:56:05,0.00,0.000,25.0,N/A
2025-11-28 10:56:05,0.00,0.000,25.0,N/A
2025-11-28 10:56:06,0.00,0.000,25.0,N/A
2025-11-28 10:56:06,0.00,0.000,25.0,N/A
2025-11-28 10:56:07,0.00,0.000,25.0,N/A
2025-11-28 10:56:07,0.00,0.000,25.0,N/A
2025-11-28 10:56:08,0.00,0.000,25.0,N/A
2025-11-28 10:56:08,0.00,0.000,25.0,N/A
2025-11-28 10:56:09,0.00,0.000,25.0,N/A
2025-11-28 10:56:10,0.00,0.000,25.0,N/A
2025-11-28 10:56:10,0.00,0.000,25.0,N/A
2025-11-28 10:56:11,0.00,0.000,25.0,N/A
2025-11-28 10:56:11,0.00,0.000,25.0,N/A
2025-11-28 10:56:12,0.00,0.000,25.0,N/A
2025-11-28 10:56:12,0.00,0.000,25.0,N/A
2025-11-28 10:56:13,0.00,0.000,25.0,N/A
2025-11-28 10:56:13,0.00,0.000,25.0,N/A
2025-11-28 10:56:14,0.00,0.000,25.0,N/A
2025-11-28 10:56:14,0.00,0.000,25.0,N/A
2025-11-28 10:56:15,0.00,0.000,25.0,N/A
2025-11-28 10:56:15,0.00,0.000,25.0,N/A
2025-11-28 10:56:16,0.00,0.000,25.0,N/A
2025-11-28 10:56:16,0.00,0.000,25.0,N/A
2025-11-28 10:56:17,0.00,0.000,25.0,N/A
2025-11-28 10:56:17,0.00,0.000,25.0,N/A
2025-11-28 10:56:18,0.00,0.000,25.0,N/A
2025-11-28 10:56:18,0.00,0.000,25.0,N/A
2025-11-28 10:56:19,0.00,0.000,25.0,N/A
2025-11-28 10:56:19,0.00,0.000,25.0,N/A
2025-11-28 10:56:20,0.00,0.000,25.0,N/A
2025-11-28 10:56:21,0.00,0.000,25.0,N/A
2025-11-28 10:56:21,0.00,0.000,25.0,N/A
2025-11-28 10:56:22,0.00,0.000,25.0,N/A
2025-11-28 10:56:22,0.00,0.000,25.0,N/A
2025-11-28 10:56:23,0.00,0.000,25.0,N/A
2025-11-28 10:56:23,0.00,0.000,25.0,N/A
2025-11-28 10:56:24,0.00,0.000,25.0,N/A
2025-11-28 10:56:24,0.00,0.000,25.0,N/A
2025-11-28 10:56:25,0.00,0.000,25.0,N/A
2025-11-28 10:56:25,0.00,0.000,25.0,N/A
2025-11-28 10:56:26,0.00,0.000,25.0,N/A
2025-11-28 10:56:26,0.00,0.000,25.0,N/A
2025-11-28 10:56:27,0.00,0.000,25.0,N/A
2025-11-28 10:56:27,0.00,0.000,25.0,N/A
2025-11-28 10:56:28,0.00,0.000,25.0,N/A
2025-11-28 10:56:28,0.00,0.000,25.0,N/A
2025-11-28 10:56:29,0.00,0.000,25.0,N/A
2025-11-28 10:56:29,0.00,0.000,25.0,N/A
2025-11-28 10:56:30,0.00,0.000,25.0,N/A
2025-11-28 10:56:30,0.00,0.000,25.0,N/A
2025-11-28 10:56:31,0.00,0.000,25.0,N/A
2025-11-28 10:56:31,0.00,0.000,25.0,N/A
2025-11-28 10:56:32,0.00,0.000,25.0,N/A
2025-11-28 10:56:32,0.00,0.000,25.0,N/A
2025-11-28 10:56:33,0.00,0.000,25.0,N/A
2025-11-28 10:56:34,0.00,0.000,25.0,N/A
2025-11-28 10:56:34,0.00,0.000,25.0,N/A
2025-11-28 10:56:35,0.00,0.000,25.0,N/A
2025-11-28 10:56:35,0.00,0.000,25.0,N/A
2025-11-28 10:56:36,0.00,0.000,25.0,N/A
2025-11-28 10:56:36,0.00,0.000,25.0,N/A
2025-11-28 10:56:37,0.00,0.000,25.0,N/A
2025-11-28 10:56:37,0.00,0.000,25.0,N/A
2025-11-28 10:56:38,0.00,0.000,25.0,N/A
2025-11-28 10:56:38,0.00,0.000,25.0,N/A
2025-11-28 10:56:39,0.00,0.000,25.0,N/A
2025-11-28 10:56:39,0.00,0.000,25.0,N/A
2025-11-28 10:56:40,0.00,0.000,25.0,N/A
2025-11-28 10:56:40,0.00,0.000,25.0,N/A
2025-11-28 10:56:41,0.00,0.000,25.0,N/A
2025-11-28 10:56:41,0.00,0.000,25.0,N/A
2025-11-28 10:56:42,0.00,0.000,25.0,N/A
2025-11-28 10:56:42,0.00,0.000,25.0,N/A
2025-11-28 10:56:43,0.00,0.000,25.0,N/A
2025-11-28 10:56:43,0.00,0.000,25.0,N/A
2025-11-28 10:56:44,0.00,0.000,25.0,N/A
2025-11-28 10:56:45,0.00,0.000,25.0,N/A
2025-11-28 10:56:45,0.00,0.000,25.0,N/A
2025-11-28 10:56:46,0.00,0.000,25.0,N/A
2025-11-28 10:56:46,0.00,0.000,25.0,N/A
2025-11-28 10:56:47,0.00,0.000,25.0,N/A
2025-11-28 10:56:47,0.00,0.000,25.0,N/A
2025-11-28 10:56:48,0.00,0.000,25.0,N/A
2025-11-28 10:56:48,0.00,0.000,25.0,N/A
2025-11-28 10:56:49,0.00,0.000,25.0,N/A
2025-11-28 10:56:49,0.00,0.000,25.0,N/A
2025-11-28 10:56:50,0.00,0.000,25.0,N/A
2025-11-28 10:56:50,0.00,0.000,25.0,N/A
2025-11-28 10:56:51,0.00,0.000,25.0,N/A
2025-11-28 10:56:51,0.00,0.000,25.0,N/A
2025-11-28 10:56:52,0.00,0.000,25.0,N/A
2025-11-28 10:56:52,0.00,0.000,25.0,N/A
2025-11-28 10:56:53,0.00,0.000,25.0,N/A
2025-11-28 10:56:53,0.00,0.000,25.0,N/A
2025-11-28 10:56:54,0.00,0.000,25.0,N/A
2025-11-28 10:56:54,0.00,0.000,25.0,N/A
2025-11-28 10:56:55,0.00,0.000,25.0,N/A
2025-11-28 10:56:55,0.00,0.000,25.0,N/A
2025-11-28 10:56:56,0.00,0.000,25.0,N/A
2025-11-28 10:56:57,0.00,0.000,25.0,N/A
2025-11-28 10:56:57,0.00,0.000,25.0,N/A
2025-11-28 10:56:58,0.00,0.000,25.0,N/A
2025-11-28 10:56:58,0.00,0.000,25.0,N/A
2025-11-28 10:56:59,0.00,0.000,25.0,N/A
2025-11-28 10:56:59,0.00,0.000,25.0,N/A
2025-11-28 10:57:00,0.00,0.000,25.0,N/A
2025-11-28 10:57:00,0.00,0.000,25.0,N/A
2025-11-28 10:57:01,0.00,0.000,25.0,N/A
2025-11-28 10:57:01,0.00,0.000,25.0,N/A
2025-11-28 10:57:02,0.00,0.000,25.0,N/A
2025-11-28 10:57:02,0.00,0.000,25.0,N/A
2025-11-28 10:57:03,0.00,0.000,25.0,N/A
2025-11-28 10:57:03,0.00,0.000,25.0,N/A
2025-11-28 10:57:04,0.00,0.000,25.0,N/A
2025-11-28 10:57:04,0.00,0.000,25.0,N/A
2025-11-28 10:57:05,0.00,0.000,25.0,N/A
2025-11-28 10:57:05,0.00,0.000,25.0,N/A
2025-11-28 10:57:06,0.00,0.000,25.0,N/A
2025-11-28 10:57:06,0.00,0.000,25.0,N/A
2025-11-28 10:57:07,0.00,0.000,25.0,N/A
2025-11-28 10:57:07,0.00,0.000,25.0,N/A
2025-11-28 10:57:08,0.00,0.000,25.0,N/A
2025-11-28 10:57:08,0.00,0.000,25.0,N/A
2025-11-28 10:57:09,0.00,0.000,25.0,N/A
2025-11-28 10:57:10,0.00,0.000,25.0,N/A
2025-11-28 10:57:10,0.00,0.000,25.0,N/A
2025-11-28 10:57:11,0.00,0.000,25.0,N/A
2025-11-28 10:57:11,0.00,0.000,25.0,N/A
2025-11-28 10:57:12,0.00,0.000,25.0,N/A
2025-11-28 10:57:12,0.00,0.000,25.0,N/A
2025-11-28 10:57:13,0.00,0.000,25.0,N/A
2025-11-28 10:57:13,0.00,0.000,25.0,N/A
2025-11-28 10:57:14,0.00,0.000,25.0,N/A
2025-11-28 10:57:14,0.00,0.000,25.0,N/A
2025-11-28 10:57:15,0.00,0.000,25.0,N/A
2025-11-28 10:57:15,0.00,0.000,25.0,N/A
2025-11-28 10:57:16,0.00,0.000,25.0,N/A
2025-11-28 10:57:16,0.00,0.000,25.0,N/A
2025-11-28 10:57:17,0.00,0.000,25.0,N/A
2025-11-28 10:57:17,0.00,0.000,25.0,N/A
2025-11-28 10:57:18,0.00,0.000,25.0,N/A
2025-11-28 10:57:18,0.00,0.000,25.0,N/A
2025-11-28 10:57:19,0.00,0.000,25.0,N/A
2025-11-28 10:57:19,0.00,0.000,25.0,N/A
2025-11-28 10:57:20,0.00,0.000,25.0,N/A
2025-11-28 10:57:20,0.00,0.000,25.0,N/A
2025-11-28 10:57:21,0.00,0.000,25.0,N/A
2025-11-28 10:57:21,0.00,0.000,25.0,N/A
2025-11-28 10:57:22,0.00,0.000,25.0,N/A
2025-11-28 10:57:23,0.00,0.000,25.0,N/A
2025-11-28 10:57:23,0.00,0.000,25.0,N/A
2025-11-28 10:57:24,0.00,0.000,25.0,N/A
2025-11-28 10:57:24,0.00,0.000,25.0,N/A
2025-11-28 10:57:25,0.00,0.000,25.0,N/A
2025-11-28 10:57:25,0.00,0.000,25.0,N/A
2025-11-28 10:57:26,0.00,0.000,25.0,N/A
2025-11-28 10:57:26,0.00,0.000,25.0,N/A
2025-11-28 10:57:27,0.00,0.000,25.0,N/A
2025-11-28 10:57:27,0.00,0.000,25.0,N/A
2025-11-28 10:57:28,0.00,0.000,25.0,N/A
2025-11-28 10:57:28,0.00,0.000,25.0,N/A
2025-11-28 10:57:29,0.00,0.000,25.0,N/A
2025-11-28 10:57:29,0.00,0.000,25.0,N/A
2025-11-28 10:57:30,0.00,0.000,25.0,N/A
2025-11-28 10:57:30,0.00,0.000,25.0,N/A
2025-11-28 10:57:31,0.00,0.000,25.0,N/A
2025-11-28 10:57:31,0.00,0.000,25.0,N/A
2025-11-28 10:57:32,0.00,0.000,25.0,N/A
2025-11-28 10:57:32,0.00,0.000,25.0,N/A
2025-11-28 10:57:33,0.00,0.000,25.0,N/A
2025-11-28 10:57:33,0.00,0.000,25.0,N/A
2025-11-28 10:57:34,0.00,0.000,25.0,N/A
2025-11-28 10:57:35,0.00,0.000,25.0,N/A
2025-11-28 10:57:35,0.00,0.000,25.0,N/A
2025-11-28 10:57:36,0.00,0.000,25.0,N/A
2025-11-28 10:57:36,0.00,0.000,25.0,N/A
2025-11-28 10:57:37,0.00,0.000,25.0,N/A
2025-11-28 10:57:37,0.00,0.000,25.0,N/A
2025-11-28 10:57:38,0.00,0.000,25.0,N/A
2025-11-28 10:57:38,0.00,0.000,25.0,N/A
2025-11-28 10:57:39,0.00,0.000,25.0,N/A
2025-11-28 10:57:39,0.00,0.000,25.0,N/A
2025-11-28 10:57:40,0.00,0.000,25.0,N/A
2025-11-28 10:57:40,0.00,0.000,25.0,N/A
2025-11-28 10:57:41,0.00,0.000,25.0,N/A
2025-11-28 10:57:41,0.00,0.000,25.0,N/A
2025-11-28 10:57:42,0.00,0.000,25.0,N/A
2025-11-28 10:57:42,0.00,0.000,25.0,N/A
2025-11-28 10:57:43,0.00,0.000,25.0,N/A
2025-11-28 10:57:43,0.00,0.000,25.0,N/A
2025-11-28 10:57:44,0.00,0.000,25.0,N/A
2025-11-28 10:57:44,0.00,0.000,25.0,N/A
2025-11-28 10:57:45,0.00,0.000,25.0,N/A
2025-11-28 10:57:45,0.00,0.000,25.0,N/A
2025-11-28 10:57:46,0.00,0.000,25.0,N/A
2025-11-28 10:57:47,0.00,0.000,25.0,N/A
2025-11-28 10:57:47,0.00,0.000,25.0,N/A
2025-11-28 10:57:48,0.00,0.000,25.0,N/A
2025-11-28 10:57:48,0.00,0.000,25.0,N/A
2025-11-28 10:57:49,0.00,0.000,25.0,N/A
2025-11-28 10:57:49,0.00,0.000,25.0,N/A
2025-11-28 10:57:50,0.00,0.000,25.0,N/A
2025-11-28 10:57:50,0.00,0.000,25.0,N/A
2025-11-28 10:57:51,0.00,0.000,25.0,N/A
