x,y,z,
102.2,294.7,0.053983,
102.2,298.2,0.053545,
102.2,301.88,0.053049,
102.2,305.38,0.05271,
102.2,308.88,0.052217,
102.2,312.38,0.052023,
102.2,315.88,0.051795,
102.2,319.55,0.052131,
102.2,323.05,0.052439,
102.2,326.73,0.052451,
102.2,330.23,0.052713,
102.2,333.9,0.052806,
102.2,337.23,0.052507,
102.2,340.9,0.052279,
102.2,344.4,0.052205,
102.2,348.08,0.051678,
102.2,351.58,0.051503,
102.2,355.25,0.05121,
102.2,358.75,0.050982,
102.2,362.43,0.050856,
102.2,365.93,0.05104,
102.2,369.43,0.05109,
102.2,373.1,0.051096,
102.2,376.78,0.050985,
102.2,380.45,0.051238,
102.2,384.13,0.051373,
102.2,387.63,0.051262,
102.2,391.13,0.051376,
102.2,394.8,0.050896,
102.2,398.3,0.050914,
102.2,401.98,0.051256,
102.2,405.48,0.051838,
102.2,409.15,0.052122,
102.2,412.65,0.052464,
102.2,416.33,0.052926,
102.2,419.83,0.05397,
102.2,423.33,0.055089,
102.2,426.83,0.056278,
102.2,430.33,0.057541,
102.2,434,0.05913,
102.2,437.68,0.060206,
102.2,441.18,0.061194,
102.2,444.68,0.062414,
102.2,448.18,0.063579,
102.2,451.85,0.064691,
102.2,455.35,0.066133,
102.2,458.85,0.067929,
102.2,462.35,0.069442,
102.2,465.5,0.070893,
102.2,469.53,0.072485,
102.2,473.03,0.074174,
102.2,476.7,0.075856,
102.2,480.2,0.077442,
102.2,483.88,0.079019,
102.2,487.38,0.080076,
102.2,490.88,0.080945,
102.2,494.55,0.08165,
102.2,498.05,0.082008,
102.2,501.73,0.082288,
102.2,505.23,0.082066,
102.2,508.9,0.081823,
102.2,512.23,0.081361,
102.2,515.9,0.080886,
102.2,519.4,0.080015,
102.2,523.08,0.079765,
102.2,526.58,0.079026,
102.2,530.08,0.078296,
102.2,533.58,0.077442,
102.2,537.25,0.076774,
102.2,540.23,0.076151,
102.2,544.25,0.075742,
102.2,547.75,0.07519,
102.2,551.25,0.074543,
102.2,554.93,0.074247,
102.2,558.43,0.073674,
102.2,562.1,0.073117,
102.2,565.6,0.072784,
102.2,569.28,0.072636,
102.2,572.78,0.071958,
102.2,576.45,0.071521,
102.2,580.13,0.071432,
102.2,583.63,0.070963,
102.2,586.6,0.070551,
102.2,590.63,0.070267,
102.2,594.3,0.069811,
102.2,597.8,0.06914,
102.2,601.3,0.068739,
102.2,604.8,0.068496,
102.2,608.48,0.067858,
102.2,611.98,0.067288,
102.2,615.48,0.067032,
102.2,618.98,0.067014,
102.2,622.65,0.06658,
102.2,626.15,0.066382,
102.2,629.65,0.066349,
102.2,633.15,0.066096,
102.2,636.83,0.066259,
102.2,640.33,0.065717,
102.2,643.82,0.065794,
102.2,647.32,0.065905,
102.2,651,0.065945,
102.2,654.5,0.065581,
102.2,658,0.06539,
102.2,661.5,0.065122,
102.2,665,0.064993,
102.2,668.5,0.064962,
102.2,672.17,0.064987,
102.2,675.67,0.065514,
102.2,679.17,0.065603,
102.2,682.67,0.065862,
102.2,686.35,0.066327,
136.15,12.6,0.049811,
136.15,16.1,0.049556,
136.15,19.95,0.04963,
136.15,23.45,0.049211,
136.15,27.3,0.048764,
136.15,30.8,0.048222,
136.15,34.3,0.047538,
136.15,37.8,0.047322,
136.15,41.3,0.047187,
136.15,44.98,0.046851,
136.15,48.48,0.046672,
136.15,52.15,0.046552,
136.15,55.65,0.046151,
136.15,59.33,0.045914,
136.15,63,0.045372,
136.15,66.5,0.04495,
136.15,70,0.044593,
136.15,73.5,0.044254,
136.15,77.18,0.044321,
136.15,80.68,0.044032,
136.15,84.18,0.044189,
136.15,87.68,0.043745,
136.15,91.18,0.043949,
136.15,94.68,0.043443,
136.15,98.18,0.043129,
136.15,101.85,0.043154,
136.15,105.35,0.042646,
136.15,108.85,0.042686,
136.15,112.35,0.043086,
136.15,116.2,0.043502,
136.15,119.7,0.044238,
136.15,123.38,0.044719,
136.15,126.88,0.045008,
136.15,130.55,0.045042,
136.15,134.05,0.04539,
136.15,137.55,0.045199,
136.15,141.23,0.045446,
136.15,144.73,0.045344,
136.15,148.23,0.045005,
136.15,151.73,0.044722,
136.15,155.4,0.044611,
136.15,159.25,0.043918,
136.15,162.93,0.043477,
136.15,166.43,0.043077,
136.15,169.93,0.042661,
136.15,173.95,0.042337,
136.15,177.45,0.042328,
136.15,181.13,0.042325,
136.15,184.63,0.042325,
136.15,188.48,0.042076,
136.15,191.98,0.041835,
136.15,195.48,0.04182,
136.15,199.15,0.04194,
136.15,202.83,0.042291,
136.15,206.33,0.042923,
136.15,209.83,0.043483,
136.15,213.5,0.044534,
136.15,217,0.045307,
136.15,220.68,0.046435,
136.15,224.18,0.047384,
136.15,227.68,0.04796,
136.15,231.18,0.048798,
136.15,235.2,0.048979,
136.15,238.7,0.049432,
136.15,242.38,0.049469,
136.15,245.88,0.049389,
136.15,249.38,0.04954,
136.15,252.88,0.04938,
136.15,256.55,0.049842,
136.15,260.05,0.050621,
136.15,263.73,0.051099,
136.15,267.4,0.051561,
136.15,271.08,0.052304,
136.15,274.58,0.05292,
136.15,278.25,0.053665,
136.15,281.75,0.05422,
136.15,285.25,0.05511,
136.15,288.93,0.055699,
136.15,292.43,0.056114,
136.15,295.93,0.056441,
136.15,299.43,0.056943,
136.15,303.1,0.057344,
136.15,306.6,0.057103,
136.15,310.1,0.057313,
136.15,313.6,0.057581,
136.15,317.1,0.057744,
136.15,320.78,0.057319,
136.15,324.63,0.057377,
136.15,328.13,0.057254,
136.15,331.63,0.057374,
136.15,335.3,0.056845,
136.15,338.63,0.056259,
136.15,342.48,0.055409,
136.15,345.98,0.055027,
136.15,349.48,0.054334,
136.15,352.98,0.053554,
136.15,356.65,0.053252,
136.15,360.15,0.052741,
136.15,363.65,0.05206,
136.15,367.33,0.051811,
136.15,370.83,0.051198,
136.15,374.33,0.050729,
136.15,377.83,0.050243,
136.15,381.5,0.049509,
136.15,385,0.049097,
136.15,388.68,0.048283,
136.15,392.18,0.047248,
136.15,395.68,0.046589,
136.15,398.83,0.046154,
136.15,402.85,0.045877,
136.15,406.35,0.046148,
